0.02	4e-05	0.424147
0.02	0.04004	0.410672
0.02	0.08004	0.407628
0.02	0.12004	0.421055
0.02	0.16004	0.401387
0.02	0.20004	0.39148
0.02	0.24004	0.391459
0.02	0.28004	0.407254
0.02	0.32004	0.387331
0.02	0.36004	0.377389
0.02	0.40004	0.382696
0.02	0.44004	0.360707
0.02	0.48004	0.347617
0.02	0.52004	0.34339
0.02	0.56004	0.353037
0.02	0.60004	0.331869
0.02	0.64004	0.319334
0.02	0.68004	0.319702
0.02	0.72004	0.29862
0.02	0.76004	0.284989
0.02	0.80004	0.278683
0.02	0.84004	0.283636
0.02	0.88004	0.263856
0.02	0.92004	0.250999
0.02	0.96004	0.248283
0.02	1.00004	0.230522
0.02	1.04004	0.218557
0.02	1.08004	0.212239
0.02	1.12004	0.214495
0.02	1.16004	0.198049
0.02	1.20004	0.18683
0.02	1.24004	0.183159
0.02	1.28004	0.169282
0.02	1.32004	0.159686
0.02	1.36004	0.154232
0.02	1.40004	0.15501
0.02	1.44004	0.142314
0.02	1.48004	0.133393
0.02	1.52004	0.129861
0.02	1.56004	0.121593
0.02	1.60004	0.11635
0.02	1.64004	0.114091
0.02	1.68004	0.116442
0.02	1.72004	0.110198
0.02	1.76004	0.106805
0.02	1.80004	0.107727
0.02	1.84004	0.0990728
0.02	1.88004	0.0929393
0.02	1.92004	0.0892279
0.02	1.96004	0.0891216
0.02	2.00004	0.0813068
0.02	2.04004	0.0756594
0.02	2.08004	0.0730689
0.02	2.12004	0.0669731
0.02	2.16004	0.0625886
0.02	2.20004	0.0598402
0.02	2.24004	0.0595096
0.02	2.28004	0.0542115
0.02	2.32004	0.0503603
0.02	2.36004	0.0485437
0.02	2.40004	0.044421
0.02	2.44004	0.0414357
0.02	2.48004	0.0395351
0.02	2.52004	0.0392319
0.02	2.56004	0.0355959
0.02	2.60004	0.0329129
0.02	2.64004	0.0315598
0.02	2.68004	0.0288642
0.02	2.72004	0.0269082
0.02	2.76004	0.025657
0.02	2.80004	0.0254425
0.02	2.84004	0.0230571
0.02	2.88004	0.0212898
0.02	2.92004	0.0203826
0.02	2.96004	0.0186011
0.02	3.00004	0.0172976
0.02	3.04004	0.016448
0.02	3.08004	0.016263
0.02	3.12004	0.0147109
0.02	3.16004	0.0135537
0.02	3.20004	0.0129442
0.02	3.24004	0.0118058
0.02	3.28004	0.0109711
0.02	3.32004	0.0104244
0.02	3.36004	0.0102989
0.02	3.40004	0.00960002
0.02	3.44004	0.00915263
0.02	3.48004	0.00907504
0.02	3.52004	0.00851665
0.02	3.56004	0.0081695
0.02	3.60004	0.00803144
0.02	3.64004	0.00821789
0.02	3.68004	0.00743256
0.02	3.72004	0.00684675
0.02	3.76004	0.00653759
0.02	3.80004	0.00596201
0.02	3.84004	0.00553974
0.02	3.88004	0.00526296
0.02	3.92004	0.00519882
0.02	3.96004	0

0.06	4e-05	0.440964
0.06	0.04004	0.437974
0.06	0.08004	0.435761
0.06	0.12004	0.434852
0.06	0.16004	0.429957
0.06	0.20004	0.425663
0.06	0.24004	0.422398
0.06	0.28004	0.420543
0.06	0.32004	0.411578
0.06	0.36004	0.403293
0.06	0.40004	0.396208
0.06	0.44004	0.387158
0.06	0.48004	0.378682
0.06	0.52004	0.371146
0.06	0.56004	0.364872
0.06	0.60004	0.35254
0.06	0.64004	0.340802
0.06	0.68004	0.330061
0.06	0.72004	0.31981
0.06	0.76004	0.310017
0.06	0.80004	0.300985
0.06	0.84004	0.292968
0.06	0.88004	0.280248
0.06	0.92004	0.267999
0.06	0.96004	0.256539
0.06	1.00004	0.247004
0.06	1.04004	0.237831
0.06	1.08004	0.229248
0.06	1.12004	0.221438
0.06	1.16004	0.210221
0.06	1.20004	0.199357
0.06	1.24004	0.189076
0.06	1.28004	0.181293
0.06	1.32004	0.173774
0.06	1.36004	0.166686
0.06	1.40004	0.160164
0.06	1.44004	0.151025
0.06	1.48004	0.142143
0.06	1.52004	0.133669
0.06	1.56004	0.130449
0.06	1.60004	0.127402
0.06	1.64004	0.124674
0.06	1.68004	0.12242
